,Rank,Name,Team,Cl,Position,G,Solo Tack,Asst Tack,TT,TPG
25,26,Kyahva Tezino,San Diego St.,Jr.,LB,13,70,57,127,9.8
26,-,Kyle Rachwal,Eastern Mich.,Sr.,LB,13,49,78,127,9.8
27,28,Ben Holt,Western Ky.,Jr.,LB,12,58,58,116,9.7
28,29,Ethan Aguayo,San Jose St.,Jr.,LB,11,48,58,106,9.6
29,30,Tre Watson,Maryland,Sr.,LB,12,71,44,115,9.6
30,31,Cole Holcomb,North Carolina,Sr.,LB,11,59,46,105,9.5
31,32,Te'Von Coney,Notre Dame,Sr.,LB,13,63,60,123,9.5
32,-,Devin White,LSU,Jr.,LB,13,62,61,123,9.5
33,34,Germaine Pratt,NC State,Sr.,LB,11,55,49,104,9.5
34,35,Jeffrey Allison,Fresno St.,Jr.,LB,14,72,60,132,9.4
35,36,Josiah Tauaefa,UTSA,Jr.,LB,12,62,51,113,9.4
36,-,Cooper Edmiston,Tulsa,Jr.,LB,12,47,66,113,9.4
37,38,Mohamed Barry,Nebraska,Jr.,LB,12,55,57,112,9.3
38,-,Mohamed Sanogo,Ole Miss,So.,LB,12,53,59,112,9.3
39,40,E.J. Ejiya,North Texas,Sr.,LB,13,60,61,121,9.3
40,41,Antonio Jones-Davis,Northern Ill.,Jr.,LB,14,76,54,130,9.3
41,42,David Long Jr.,West Virginia,Jr.,LB,12,76,35,111,9.3
42,-,Khalid McGee,South Fla.,Sr.,LB,12,64,47,111,9.3
43,44,Jordan Griffin,Vanderbilt,Sr.,LB,13,62,57,119,9.2
44,45,Tyler Coyle,UConn,Jr.,DB,12,65,44,109,9.1
45,-,Dalton Baker,UNLV,Sr.,DB,12,60,49,109,9.1
46,-,Bryan London II,Texas St.,Jr.,LB,12,53,56,109,9.1
47,-,Trevor Morris,Rutgers,Sr.,LB,12,46,63,109,9.1
48,49,Sione Takitaki,BYU,Sr.,DL,13,74,44,118,9.1
49,50,Blake Gallagher,Northwestern,So.,LB,14,72,55,127,9.1
50,51,Nikolas Daniels,Texas St.,Jr.,LB,12,48,60,108,9.0
51,52,Deshaun Davis,Auburn,Sr.,LB,13,57,59,116,8.9
52,53,Dre Greenlaw,Arkansas,Sr.,LB,9,38,42,80,8.9
53,54,Markus Bailey,Purdue,Jr.,LB,13,82,33,115,8.8
54,-,Troy Dye,Oregon,Jr.,LB,13,66,49,115,8.8
55,56,Jerry McBride III,Bowling Green,Jr.,DB,12,67,39,106,8.8
56,57,Nigel Lawrence,South Alabama,Sr.,DB,10,44,44,88,8.8
57,58,Nate Landman,Colorado,So.,LB,12,66,39,105,8.8
58,-,Rayshard Ashby,Virginia Tech,So.,LB,12,57,48,105,8.8
59,-,Chase Hancock,Marshall,Sr.,LB,12,45,60,105,8.8
60,61,T.J. Edwards,Wisconsin,Sr.,LB,13,73,40,113,8.7
61,-,Roman Brown,Houston,Sr.,LB,13,51,62,113,8.7
62,63,Blake Cashman,Minnesota,Sr.,LB,12,62,42,104,8.7
63,-,Jeremy Fejedelem,Air Force,Jr.,DB,12,54,50,104,8.7
64,65,Cale Garrett,Missouri,Jr.,LB,13,69,43,112,8.6
65,66,Logan Wilson,Wyoming,Jr.,LB,12,57,46,103,8.6
66,67,Jalen Moore,Oregon St.,Jr.,DB,12,70,32,102,8.5
67,68,Brad Koenig,Miami (OH),Sr.,DB,12,61,40,101,8.4
68,-,Tre Thomas,Colorado St.,Sr.,LB,12,42,59,101,8.4
69,70,Richie Grant,UCF,So.,DB,13,69,40,109,8.4
70,71,Jaquan Johnson,Miami (FL),Sr.,DB,11,44,48,92,8.4
71,72,Paddy Fisher,Northwestern,So.,LB,14,64,53,117,8.4
72,73,Cody Barton,Utah,Sr.,LB,14,68,48,116,8.3
73,74,Clay Johnston,Baylor,Jr.,LB,12,64,35,99,8.3
74,75,Reed Blankenship,Middle Tenn.,So.,DB,13,71,36,107,8.2
75,-,Ryan Guthrie,Syracuse,Sr.,LB,13,66,41,107,8.2
76,-,Taylor Heflin,Navy,Sr.,LB,13,56,51,107,8.2
77,78,Cameron Glenn,Wake Forest,Sr.,DB,12,68,30,98,8.2
78,79,Kyle Pugh,Northern Ill.,Sr.,LB,13,63,43,106,8.2
79,-,T.J. Brunson,South Carolina,Jr.,LB,13,59,47,106,8.2
80,81,Chase Hansen,Utah,Sr.,LB,14,70,44,114,8.1
81,82,Cameron Smith,Southern California,Sr.,LB,10,58,23,81,8.1
82,83,Devonni Reed,Central Mich.,Fr.,DB,12,62,35,97,8.1
83,84,Justin Strnad,Wake Forest,Jr.,LB,13,63,42,105,8.1
84,-,Akeem Davis-Gaither,Appalachian St.,Jr.,LB,13,48,57,105,8.1
85,86,Parker Baldwin,San Diego St.,Sr.,DB,13,60,43,103,7.9
86,87,Jake Hansen,Illinois,Jr.,LB,12,48,47,95,7.9
87,-,Del'Shawn Phillips,Illinois,Sr.,LB,12,45,50,95,7.9
88,89,Deonte Roberts,Rutgers,Sr.,LB,11,25,62,87,7.9
89,90,C.J. Levine,UTSA,Sr.,DB,12,67,27,94,7.8
90,-,Isaiah Davis,Maryland,Jr.,LB,12,50,44,94,7.8
91,92,Joe Bachie,Michigan St.,Jr.,LB,13,46,55,101,7.8
92,93,Jesse Osuna,San Jose St.,Jr.,LB,12,55,38,93,7.8
93,-,Jamal Hicks,Colorado St.,Jr.,DB,12,45,48,93,7.8
94,95,David Reese,Florida,Jr.,LB,10,22,55,77,7.7
95,96,Kielan Whitner,Syracuse,Sr.,LB,13,60,40,100,7.7
96,-,Chase Christiansen,Utah St.,Sr.,LB,13,36,64,100,7.7
97,98,Ben DeLuca,Charlotte,Jr.,DB,12,57,35,92,7.7
98,-,Richard Moore,SMU,Sr.,LB,12,56,36,92,7.7
99,-,David Griffith,La.-Monroe,Sr.,LB,12,44,48,92,7.7
100,101,Nate Evans,UCF,Jr.,LB,13,55,44,99,7.6
101,-,Johnathan Abram,Mississippi St.,Sr.,DB,13,53,46,99,7.6
